alpha,inst,best,avgCost,avgTime
0.995,P101_2_10_1.fcvrp,328.0,328.0,2.52675166
0.995,P101_2_10_1.fcvrp,328.0,328.0,2.19070576
0.995,P101_2_10_2.fcvrp,198.0,198.0,0.8734257199999998
0.995,P101_2_30_2.fcvrp,334.0,334.6,0.90915776
0.995,P101_3_10_3.fcvrp,519.0,521.0,3.97301686
0.995,P101_3_10_4.fcvrp,469.0,472.4,3.7252668200000003
0.995,P101_3_30_1.fcvrp,432.0,434.8,1.3507330999999998
0.995,P101_3_30_4.fcvrp,424.0,425.8,1.574294
0.995,P101_3_51_1.fcvrp,495.0,499.8,1.70933284
0.995,P101_3_51_2.fcvrp,465.0,466.6,1.49526562
0.995,P101_3_51_4.fcvrp,543.0,546.2,1.61166512
0.995,P101_4_30_3.fcvrp,615.0,620.0,2.2221521199999996
0.995,P101_4_51_3.fcvrp,638.0,648.4,2.15937612
0.995,P60_10_30_3.fcvrp,756.0,757.0,0.98665156
0.995,P60_10_6_3.fcvrp,693.0,693.0,0.9843144799999999
0.995,P60_10_6_4.fcvrp,660.0,660.0,0.7583616400000001
0.995,P60_11_30_1.fcvrp,709.0,709.0,0.58354418
0.995,P60_12_30_4.fcvrp,761.0,761.0,0.6155952599999999
0.995,P60_13_18_3.fcvrp,853.0,853.0,0.81156574
0.995,P60_14_6_3.fcvrp,938.0,938.0,1.03564484
0.995,P60_15_30_3.fcvrp,992.0,992.0,0.97475028
0.995,P60_4_6_2.fcvrp,215.0,215.0,0.51168654
0.995,P60_5_18_2.fcvrp,308.0,308.0,0.37972664
0.995,P60_5_6_1.fcvrp,319.0,319.0,0.8729184400000001
0.995,P60_5_6_2.fcvrp,257.0,257.0,0.47998405999999993
0.995,P60_6_18_1.fcvrp,391.0,391.0,0.5582461000000001
0.995,P60_6_18_4.fcvrp,467.0,467.0,0.55290852
0.995,P60_6_30_2.fcvrp,473.0,473.6,0.54051498
0.995,P60_7_18_2.fcvrp,377.0,377.0,0.3830907
0.995,P60_7_6_4.fcvrp,474.0,474.0,0.69314236
0.995,P60_8_18_1.fcvrp,488.0,488.0,0.47186691999999997
0.995,P60_8_30_1.fcvrp,545.0,545.0,0.6515106
0.995,P60_8_30_4.fcvrp,583.0,583.0,0.6700497
0.995,P60_8_6_1.fcvrp,397.0,397.0,0.78409254
0.995,P60_9_18_3.fcvrp,658.0,658.0,0.9455849000000001
0.995,P60_9_18_4.fcvrp,606.0,606.0,0.49527674
0.995,P60_9_30_2.fcvrp,614.0,615.4,0.5389464
0.996,P101_2_10_1.fcvrp,328.0,328.2,1.8357538999999998
0.996,P101_2_10_2.fcvrp,198.0,198.0,0.99618996
0.996,P101_2_30_2.fcvrp,334.0,334.0,1.09222398
0.996,P101_3_10_3.fcvrp,518.0,521.4,4.9550241
0.996,P101_3_10_4.fcvrp,469.0,469.8,4.43238872
0.996,P101_3_30_1.fcvrp,432.0,434.8,2.13625886
0.996,P101_3_30_4.fcvrp,424.0,426.6,2.0420101600000002
0.996,P101_3_51_1.fcvrp,496.0,499.0,1.93644738
0.996,P101_3_51_2.fcvrp,465.0,465.8,1.73170624
0.996,P101_3_51_4.fcvrp,542.0,545.2,2.2024084200000003
0.996,P101_4_30_3.fcvrp,615.0,619.2,2.5722991
0.996,P101_4_51_3.fcvrp,638.0,644.2,2.63562492
0.996,P60_10_30_3.fcvrp,756.0,756.2,1.2007217799999998
0.996,P60_10_6_3.fcvrp,693.0,693.0,1.2525376
0.996,P60_10_6_4.fcvrp,660.0,660.0,0.9095029
0.996,P60_11_30_1.fcvrp,709.0,709.0,0.72849242
0.996,P60_12_30_4.fcvrp,761.0,761.0,0.7537774200000001
0.996,P60_13_18_3.fcvrp,853.0,853.0,1.0293777199999998
0.996,P60_14_6_3.fcvrp,938.0,938.0,1.28363506
0.996,P60_15_30_3.fcvrp,992.0,992.6,1.14254112
0.996,P60_4_6_2.fcvrp,215.0,215.0,0.6345979
0.996,P60_5_18_2.fcvrp,308.0,308.0,0.42270258
0.996,P60_5_6_1.fcvrp,319.0,319.0,1.05955306
0.996,P60_5_6_2.fcvrp,257.0,257.0,0.5990079
0.996,P60_6_18_1.fcvrp,391.0,391.0,0.7151056600000001
0.996,P60_6_18_4.fcvrp,467.0,467.2,0.66029788
0.996,P60_6_30_2.fcvrp,473.0,476.2,0.68439066
0.996,P60_7_18_2.fcvrp,377.0,377.0,0.46644934000000005
0.996,P60_7_6_4.fcvrp,474.0,474.0,0.838002
0.996,P60_8_18_1.fcvrp,488.0,488.2,0.58158022
0.996,P60_8_30_1.fcvrp,545.0,545.0,0.8595887
0.996,P60_8_30_4.fcvrp,583.0,583.0,0.8748352400000001
0.996,P60_8_6_1.fcvrp,397.0,397.0,0.9678547399999999
0.996,P60_9_18_3.fcvrp,658.0,658.4,1.28632998
0.996,P60_9_18_4.fcvrp,606.0,606.0,0.5839224799999999
0.996,P60_9_30_2.fcvrp,614.0,614.4,0.62409022
0.997,P101_2_10_1.fcvrp,328.0,328.0,2.47127582
0.997,P101_2_10_2.fcvrp,198.0,198.0,1.3406036599999998
0.997,P101_2_30_2.fcvrp,334.0,334.0,1.49958788
0.997,P101_3_10_3.fcvrp,518.0,523.6,6.593003479999998
0.997,P101_3_10_4.fcvrp,469.0,469.0,6.014142940000001
0.997,P101_3_30_1.fcvrp,432.0,434.6,2.20809136
0.997,P101_3_30_4.fcvrp,424.0,426.4,2.5329425999999997
0.997,P101_3_51_1.fcvrp,495.0,497.4,2.5576392400000003
0.997,P101_3_51_2.fcvrp,465.0,466.4,2.50633884
0.997,P101_3_51_4.fcvrp,542.0,545.2,2.848676
0.997,P101_4_30_3.fcvrp,616.0,618.0,3.61950832
0.997,P101_4_51_3.fcvrp,638.0,641.2,3.5737702399999995
0.997,P60_10_30_3.fcvrp,756.0,756.2,1.5572899599999999
0.997,P60_10_6_3.fcvrp,693.0,693.0,1.59111572
0.997,P60_10_6_4.fcvrp,660.0,660.0,1.1913394
0.997,P60_11_30_1.fcvrp,709.0,709.0,0.9631481
0.997,P60_12_30_4.fcvrp,761.0,761.0,1.03329716
0.997,P60_13_18_3.fcvrp,853.0,853.0,1.3554245000000003
0.997,P60_14_6_3.fcvrp,938.0,938.0,1.6402773400000001
0.997,P60_15_30_3.fcvrp,992.0,992.0,1.4916653800000002
0.997,P60_4_6_2.fcvrp,215.0,215.0,0.8506515800000001
0.997,P60_5_18_2.fcvrp,308.0,308.0,0.62306224
0.997,P60_5_6_1.fcvrp,319.0,319.0,1.48077374
0.997,P60_5_6_2.fcvrp,257.0,257.0,0.83553608
0.997,P60_6_18_1.fcvrp,391.0,391.0,0.9470945400000002
0.997,P60_6_18_4.fcvrp,467.0,467.0,0.8576092799999999
0.997,P60_6_30_2.fcvrp,473.0,476.2,0.91981158
0.997,P60_7_18_2.fcvrp,377.0,377.0,0.6037371799999999
0.997,P60_7_6_4.fcvrp,474.0,474.0,1.1102450999999998
0.997,P60_8_18_1.fcvrp,488.0,488.0,0.7408519
0.997,P60_8_30_1.fcvrp,545.0,545.0,1.09511228
